code,Year,mort,malaria,gdp_pc,pov,edu,water,san
CAF,2013,120.2,377.014293603152,364.36696260838,16.1,89.9594650268555,6.91376367985524,16.7250416362785
CAF,2014,117.7,367.209143078154,409.8504859647,16.1,89.9594650268555,6.80476202389028,16.3420826919898
CAF,2015,114.8,351.02409399807,366.322853938121,16.1,89.9594650268555,6.6975310443207,15.9631874719448
CAF,2016,111.9,335.114128221718,387.176203444318,16.1,89.9594650268555,6.59203554548991,15.5882420568199
CAF,2017,110.2,333.028668085858,432.324025684263,16.1,89.9594650268555,6.48793757270195,15.2164875035595
CAF,2018,108.0,329.563396260486,455.243962859534,16.1,89.9594650268555,6.38520696907848,14.847835432135
CAF,2019,105.3,324.177762796094,449.228467602439,16.1,30.8433303833008,6.28371097133331,14.4819824288711
CAF,2020,102.4,311.988912637422,462.879071294011,16.1,30.8433303833008,6.18331816252162,14.1186346735747
CAF,2021,99.3,310.880176736812,492.263142830507,68.8,30.8433303833008,6.08389794486466,13.7575067532956
CAF,2022,96.8,310.589581484185,467.359825026238,68.8,30.8433303833008,6.12644463898753,13.8462938417752
CAF,2023,96.8,310.589581484185,495.978897153068,68.8,30.8433303833008,6.12644463898753,13.8462938417752
CIV,2003,130.0,517.482617457325,1111.17135087887,68.8,30.8433303833008,24.0859299166158,22.4905747331287
CIV,2004,126.1,510.388028970115,1199.82524528546,68.8,30.8433303833008,24.164870833197,23.0936137803389
CIV,2005,122.1,485.96299588787,1197.74616979415,68.8,30.8433303833008,24.2429225324484,23.818461396621
CIV,2006,118.2,450.987147814774,1230.43056838584,68.8,30.8433303833008,24.3205097542301,24.5514184482042
CIV,2007,114.4,421.51056883493,1367.53817722326,68.8,30.8433303833008,24.3976310262985,25.2923605973269
CIV,2008,110.3,422.16794451496,1583.97066701372,68.8,30.8433303833008,24.4742852236951,26.0411623083941
CIV,2009,106.1,444.169248103349,1540.45393569596,68.8,30.8433303833008,24.5500512161242,26.7970814130263
CIV,2010,102.5,466.272226163187,1553.54887048143,68.8,30.8433303833008,24.6253454515468,27.5606050351637
CIV,2011,99.2,463.385931975613,1596.62826565998,68.8,30.8433303833008,24.700166779064,28.3316063644831
CIV,2012,96.1,375.893564915119,1546.9460184731,68.8,48.7585144042969,28.7375709803376,29.1096545103652
CIV,2013,92.8,288.177567689344,1786.15862031324,68.8,34.9165420532227,31.5056813067325,29.894622861839
CIV,2014,89.4,257.757324937044,1991.36539423404,68.8,35.689998626709,33.2507794211575,30.6863860760485
CIV,2015,86.3,239.92403187898,1814.71855088017,44.4,35.689998626709,35.0107478443883,31.4875187108368
CIV,2016,83.8,242.267472416973,1862.59597081287,44.4,34.2814598083496,36.7854755505636,32.2972577718512
CIV,2017,81.5,251.844533583687,1964.29930338343,44.4,34.2814598083496,38.5754643830321,33.115740904564
CIV,2018,78.9,264.819964612833,2130.86619381144,39.5,34.2814598083496,40.3810137249807,33.9428009638578
CIV,2019,76.1,269.303795628746,2141.76836170115,39.5,27.340274810791,42.1515450758296,34.7779674572536
CIV,2020,73.8,269.854642304747,2179.72934832935,39.5,27.340274810791,43.6416406173766,35.6210684573158
CIV,2021,71.5,265.989156222769,2455.98127641148,37.5,32.7200012207031,43.7664578960464,36.2910379646523
CIV,2022,69.4,260.752261089293,2308.70654660366,37.5,44.4454612731934,43.8921552555398,36.9620839390068
CIV,2023,69.4,260.752261089293,2530.84659301723,37.5,44.4454612731934,43.8921552555398,36.9620839390068
CMR,2003,134.7,422.406890996303,988.241276791846,37.5,44.4454612731934,43.8921552555398,38.59076542374
CMR,2004,131.3,426.198650184468,1133.39326749673,37.5,44.4454612731934,43.8921552555398,38.8160973579278
CMR,2005,128.1,421.707639148253,1142.62466252106,37.5,44.4454612731934,43.8921552555398,39.042535815984
CMR,2006,124.8,407.460409168168,1191.45458990968,37.5,44.4454612731934,43.8921552555398,39.2707706827341
CMR,2007,121.5,380.174388744691,1325.67248215933,39.9,24.8299999237061,43.8921552555398,39.5008711555613
CMR,2008,118.1,344.4914225215,1492.14269801453,39.9,24.8299999237061,43.8921552555398,39.7329093241941
CMR,2009,114.8,306.183969439017,1461.38999232337,39.9,24.8299999237061,43.8921552555398,39.9666331909279
CMR,2010,110.5,285.658955442077,1398.58702025047,39.9,36.310001373291,43.8921552555398,40.2024295671356
CMR,2011,106.3,264.990606816845,1513.96056994878,39.9,36.310001373291,43.8921552555398,40.4400396496545
CMR,2012,102.0,256.154041015403,1449.09874362279,39.9,36.310001373291,43.8921552555398,40.679527922419
CMR,2013,97.5,260.653450654907,1575.92882118897,39.9,36.310001373291,43.8921552555398,40.9206144735396
CMR,2014,93.4,260.634862067382,1649.4433905949,37.5,72.4277801513672,43.8921552555398,41.16335571391
CMR,2015,89.3,259.133695447277,1415.00009710569,37.5,72.4277801513672,43.8921552555398,41.4078037782764
CMR,2016,85.9,254.284964804191,1441.7201725688,37.5,72.4277801513672,43.8921552555398,41.6540121133768
CMR,2017,82.7,245.064604122956,1496.08951771242,37.5,72.4277801513672,43.8921552555398,41.9013320538743
CMR,2018,79.8,241.667181087436,1610.69641591017,37.5,60.223518371582,43.8921552555398,42.1505011655075
CMR,2019,77.3,232.057641005432,1555.22660476477,37.5,60.223518371582,43.8921552555398,42.4008580058119
CMR,2020,74.9,238.111888798225,1555.60370660749,37.5,60.223518371582,43.8921552555398,42.6527994756676
CMR,2021,72.2,234.102139269672,1672.32657340872,37.5,60.223518371582,43.8921552555398,42.9056321489974
CMR,2022,69.8,231.38528972862,1604.87726954895,37.5,60.223518371582,43.8921552555398,43.119165338496
CMR,2023,69.8,231.38528972862,1736.86091073524,37.5,60.223518371582,43.8921552555398,43.119165338496
COD,2003,145.5,471.414816173624,161.491553524396,37.5,60.223518371582,12.198470762078,22.392974466149
COD,2004,140.9,473.813680950141,180.664764963633,69.3,60.223518371582,12.1825329393722,21.9485955381886
COD,2005,136.1,474.636627588265,203.561668860749,69.3,60.223518371582,12.1619476934982,21.5079475709645
COD,2006,131.4,470.579154073665,238.417639415512,69.3,60.223518371582,12.1371326820642,21.0891378494807
COD,2007,126.8,456.425309354423,267.88850879878,69.3,60.223518371582,12.107874117823,20.6788066870991
COD,2008,122.2,435.927571341521,307.319638606745,69.3,60.223518371582,12.0733617976337,20.2769264617238
COD,2009,117.8,408.753775776008,280.798051526498,69.3,60.223518371582,12.0339797530418,19.8835864068139
COD,2010,113.7,384.676424859322,314.53858629844,69.3,60.223518371582,11.9889309071555,19.4987268908352
COD,2011,109.7,361.568483313027,364.714191777632,69.3,60.223518371582,11.9385724789709,19.1224516966063
COD,2012,105.9,333.657873576831,400.059901824342,63.9,71.8659286499023,11.8821214729561,18.7546676228376
COD,2013,102.1,307.60064821106,431.191528160935,63.9,56.7900009155273,11.8193690047971,18.3953627320994
COD,2014,98.6,294.129864248823,458.004541775676,63.9,56.7900009155273,11.7503722436099,18.044594711176
COD,2015,95.5,298.758122999603,467.9145805459,63.9,56.7900009155273,11.6746408900037,17.7022826880082
COD,2016,92.4,305.245033536132,442.310472110228,63.9,63.560001373291,11.5919584610528,17.3684019576228
COD,2017,89.5,317.119333003588,436.584534687385,63.9,63.560001373291,11.5018570307964,17.0428366780056
COD,2018,86.5,328.65566976936,528.256019777898,63.9,61.997631072998,11.4043739382468,16.7256344876716
COD,2019,83.8,330.001245288348,557.044161335917,63.9,61.997631072998,11.2990478746874,16.4166624601584
COD,2020,80.8,326.748625313463,507.521230077872,63.9,65.8543701171875,11.1856662910631,16.1158647638764
COD,2021,78.2,320.997804662059,558.034077296358,63.9,65.8543701171875,11.3837135621712,16.146171281979
COD,2022,75.6,309.606702371537,642.612265820033,63.9,65.8543701171875,11.5843357881251,16.1744725542393
COD,2023,75.6,309.606702371537,627.502181690836,63.9,65.8543701171875,11.5843357881251,16.1744725542393
COG,2003,99.6,328.433566846043,1016.82363412143,63.9,65.8543701171875,27.9804124988277,12.6236774657936
COG,2004,93.0,324.574401667282,1306.10136324599,63.9,65.8543701171875,29.5763950242683,13.0815252399964
COG,2005,86.2,306.469464084867,1799.05158366154,50.7,65.8543701171875,31.1952506737724,13.5511103750175
COG,2006,79.8,284.134598616482,2103.5821381211,50.7,65.8543701171875,32.8366595630217,14.032535254429
COG,2007,74.1,253.790066498514,2206.47101863414,50.7,65.8543701171875,34.5007061970797,14.5260420328821
COG,2008,69.2,226.413230431714,2832.09177777643,50.7,65.8543701171875,36.1879206039648,15.0320394097892
COG,2009,65.3,214.933888937173,2271.15219175966,50.7,65.8543701171875,37.8980963565358,15.5506898875387
COG,2010,62.3,215.37178529227,2946.55798067708,50.7,65.8543701171875,39.6314442165765,16.0823109686403
COG,2011,60.0,216.253117217862,3396.16505817952,40.9,65.8543701171875,41.3869008348128,16.6267536896129
COG,2012,58.1,215.455681707999,3732.32737320389,40.9,65.8543701171875,42.4285807175505,17.1843319776117
COG,2013,56.4,216.85639757203,3697.41705884249,40.9,65.8543701171875,43.0132402114745,17.7552084286539
COG,2014,54.6,211.497148251488,3601.2365808718,40.9,65.8543701171875,43.5985204056278,18.3393599953142
COG,2015,52.9,208.769236784084,2439.35189403696,40.9,71.9914169311523,44.1840934285822,18.9369277755163
